user	User
responseparameters	ResponseParameters
inputmedia	InputMedia
inputmediaphoto	InputMediaPhoto
inputmediavideo	InputMediaVideo
inputmediaanimation	InputMediaAnimation
inputmediaaudio	InputMediaAudio
inputmediadocument	InputMediaDocument
inputfile	InputFile
inputpaidmedia	InputPaidMedia
inputpaidmediaphoto	InputPaidMediaPhoto
inputpaidmediavideo	InputPaidMediaVideo
inputprofilephoto	InputProfilePhoto
inputprofilephotostatic	InputProfilePhotoStatic
inputprofilephotoanimated	InputProfilePhotoAnimated
inputstorycontent	InputStoryContent
inputstorycontentphoto	InputStoryContentPhoto
inputstorycontentvideo	InputStoryContentVideo
sending-files	Sending files
accent-colors	Accent colors
profile-accent-colors	Profile accent colors
inline-mode-objects	Inline mode objects
